platform,komentar,timestamp,sentimen,komentar_bersih
twitter,"Haram itu kalo mengubah sesuatu scr permanen, misalnya vasektomi bikin ga bisa menghamili lagi. Kemarin sempet baca soal vasektomi, ternyata bisa dibalikin sprt kodratnya, jd ga haram. Wallahua'lam https://x.com/MireinaRiviere/MireinaRiviere/status/1821168628714369403…",2024-08-09T00:56:28.000Z,netral,haram kalo ubah scr permanen vasektomi bikin ga hamil kemarin sempet baca vasektomi dibalikin sprt kodrat jd ga haram wallahualam
twitter,gimana gimana bang? tiba-tiba bilang vasektomi haram? mau tau dong penjelasannya,2024-08-08T17:46:36.000Z,positif,gimana gimana bang tibatiba bilang vasektomi haram tau jelas
twitter,"yang blg vasektomi haram kebanyakan jg gamau istrinya kb. alasannya kalo kebobolan ""udah rezekinya"" ",2024-08-08T17:34:39.000Z,positif,blg vasektomi haram banyak jg gamau istri kb alas kalo bobol udah rezeki
twitter,Yg haram kalo di cut habis. Vasektomi bisa disambung lagi walau resiko gagal 0.08%,2024-08-08T17:27:44.000Z,positif,yg haram kalo cut habis vasektomi sambung resiko gagal
twitter,Vasektomi haram. Tapi beranak sampe gak keurus itu halal (padahal dosa juga tapi pada tutup mata),2024-08-08T16:54:07.000Z,positif,vasektomi haram anak sampe gak urus halal dosa tutup mata
twitter,"aku setuju soal ini, tapi jika keadaannya memang kepepet maka vasektomi dan tubektomi hukumnya bukan haram lagi kan?",2024-08-08T16:05:10.000Z,positif,tuju ada pepet vasektomi tubektomi hukum haram
twitter,"Lebih haram mana kak sm yg ngewe dn pnya anak trs tp anaknya gk keurus, gizi, pendidikan dn segala aspek gk tercukupi oleh orgtua nya, atau lebih haram istri nyuruh vasektomi tp bebas ngewe tanpa mikirin beban ekonomi hrs ngehidupin anak banyak?",2024-08-08T16:00:26.000Z,positif,haram kak sm yg ngewe dn pnya anak trs tp anak gk urus gizi didik dn aspek gk cukup orgtua nya haram istri nyuruh vasektomi tp bebas ngewe mikirin beban ekonomi hrs ngehidupin anak
twitter,Sptnya km lebih paham kalo vasektomi haram. Coba jelaskan kenapa haram?,2024-08-08T15:30:23.000Z,positif,sptnya km paham kalo vasektomi haram coba haram
twitter,"Yg enak buat laki2: halal
Contohnya: rokok
Yg gak enak buat laki2: haram
Contohnya: vasektomi",2024-08-08T15:10:49.000Z,positif,yg enak laki halal contoh rokok yg gak enak laki haram contoh vasektomi
twitter,"nggak juga haram hukumnya, karna dengan alasan tertentu diperbolehkan kok vasektomi, ya berarti bukan haram hukumnya, bukan halal juga.",2024-08-08T15:08:14.000Z,positif,nggak haram hukum karna alas boleh vasektomi ya haram hukum halal
twitter,"idealnya dalam fikih munakahat perbuatan apapun yg menghambat kehamilan dilarang, bahkan azal (tembak luar) aja dihukumi makruh mendekati haram

tapi ya realita muslim disini aja yg maunya KB ke istri mulu, giliran suruh make kondom gasudi apalagi vasektomi awikwok https://x.com/noniksipit/sta/noniksipit/status/1821371959394828421…",2024-08-08T14:50:58.000Z,positif,ideal fikih munakahat buat apa yg hambat hamil larang azal tembak aja hukum makruh dekat haram ya realita muslim aja yg mau kb istri mulu gilir suruh make kondom gasudi vasektomi awikwok
twitter,"ya kak, tp yg mengamalkan cm beberapa terutama yg taat agama (karna mengerti). nah masalahnya yg rame ini doi maksa cewe yg kb dan maksa kl itu ga haram sedangkan vasektomi haram, emg dasarnya oknum ini gamau di vasektomi aja",2024-08-08T14:29:04.000Z,positif,ya kak tp yg amal cm yg taat agama karna erti yg rame doi maksa cewe yg kb maksa kl ga haram vasektomi haram emg dasar oknum gamau vasektomi aja
twitter,"Tau kok tapi haram police yang langsung ketar ketir cuma karna baca kata 'vasektomi' mana tau. Malah kayanya banyak yg ngira vasektomi tuh kek steril kucing, testisnya yg diambil total",2024-08-08T14:26:08.000Z,positif,tau haram police langsung ketar tir karna baca vasektomi tau kaya yg ngira vasektomi tuh kek steril kucing testis yg ambil total
twitter,vasektomi haram tapi gapapa punya banyak anak trus ga bisa dibiayain anaknya hidup susah jadi sandwich generation  https://t.co/bQLjx5rMZm,2024-08-08T14:22:42.000Z,positif,vasektomi haram gapapa anak trus ga dibiayain anak hidup susah sandwich generation
twitter,Tapi ada dokter yg menyarankan steril utk perempuan krn terlalu beresiko jika hamil lagi. Contohnya anaknya udah banyak dan udah SC berkali-kali. Nah itu kalo ga disteril malah dosa lah kan membahayakan nyawa si ibu. Jadi halal haram nya vasektomi & tubektomi tergantung kondisi,2024-08-08T14:16:23.000Z,positif,dokter yg saran steril utk perempuan krn resiko hamil contoh anak udah udah sc berkalikali kalo ga steril dosa bahaya nyawa si halal haram nya vasektomi tubektomi gantung kondisi
twitter,"jelasin secara detil + sebutin ulama mana yang bilang vasektomi haram coba, gue mau tau. kalo modal cuap-cuap haram, anak sd juga bisa. https://x.com/MireinaRiviere/MireinaRiviere/status/1821168628714369403…",2024-08-08T14:16:00.000Z,netral,jelasin detil sebutin ulama bilang vasektomi haram coba gue tau kalo modal cuapcuap haram anak sd
twitter,apa bedanya dengan kb kalo gitu?  lu tuh kalo buat statement coba dijelaskan dengan detail. dari mana asalnya bisa haram? Ayat Al-Qur'an dan surah apa yang menjelaskan kalau vasektomi itu haram? Hadist apa juga yang menetapkan kalau itu haram?,2024-08-08T14:13:04.000Z,positif,beda kb kalo gitu lu tuh kalo statement coba detail asal haram ayat alquran surah vasektomi haram hadist tetap haram
twitter,"Saya setuju dengan hal tsb. Namun, kalo merujuk ke fatwa MUI terbaru (silakan merujuk ke tweet di bawah), KB itu diperbolehkan dan vasektomi juga diperbolehkan dengan syarat tertentu. Jadi gak haram mutlak, masih ada pengecualian.",2024-08-08T14:12:10.000Z,negatif,tuju tsb kalo rujuk fatwa mui baru sila rujuk tweet kb boleh vasektomi boleh syarat gak haram mutlak kecuali
twitter,"Tapi..
Hukum fatwa vasektomi(permanen) masih perdebatan..

Tapi mayoritas haram ",2024-08-08T12:28:41.000Z,positif,hukum fatwa vasektomipermanen debat mayoritas haram
twitter,coba mana dah yang bilang vasektomi haram,2024-08-08T12:11:22.000Z,positif,coba dah bilang vasektomi haram
twitter,"Daging babi haram ini disebut spesifik
Vasektomi?
Lo ngabandingin sama hal yg Lo tafsir sendir
Giliran KB cewek ga haram
Standar Lo bukan syariat tapi patriarki",2024-08-08T11:54:59.000Z,positif,daging babi haram spesifik vasektomi lo ngabandingin yg lo tafsir sendir gilir kb cewek ga haram standar lo syariat patriark
twitter,Adakah dalilnya dalam alquran yg menyatakan bahwa vasektomi itu haram? Kalo cuma fatwa mui doang ga bisa bener2 dijadiin acuan. Ulama bisa juga tetep salah,2024-08-08T11:53:48.000Z,positif,ada dalil alquran yg vasektomi haram kalo fatwa mui doang ga bener dijadiin acu ulama tetep salah
twitter,"Kemudian aku lihat tadi kamu juga share ini. Apakah di situ juga kurang jelas bahwa vasektomi haram tapi ada pengecualian. Opsi vasektomi apa sih? KB. Tapi KB itu banyak mudharat nya, mas. Karna bisa mempengaruhi sampe ke hormon2nya. Coba pelajari lagi

https://x.com/MireinaRiviere/status/1821426921739259987?t=h5RTrwhrxrUIGZoD_dZU9g&s=19…",2024-08-08T11:50:31.000Z,positif,lihat share situ vasektomi haram kecuali opsi vasektomi sih kb kb mudharat nya mas karna pengaruh sampe hormon coba ajar
twitter,sini sodorin ayat mana yang bilang vasektomi haram. https://x.com/MireinaRiviere/MireinaRiviere/status/1821422770389127318…,2024-08-08T11:46:05.000Z,netral,sodorin ayat bilang vasektomi haram
twitter,"Repnya 
Giliran vasektomi haram, kb apa kabar? 
Maunya cewe terus yg ngalamin susahnya, uda melahirkan sakit, yg kb jga harus istrinya
Damn https://x.com/noniksipit/sta/noniksipit/status/1821203178098241756…",2024-08-08T11:37:10.000Z,netral,repnya gilir vasektomi haram kb kabar mau cewe yg ngalamin susah uda lahir sakit yg kb jga istri damn
twitter,Dasar fiqihnya sama sama ngga boleh atau haram ya sasuke. Baik vasektomi maupun tubektomi. Kecuali nanti ada hal hal yg mengubahnya jd halal contoh karena sudah tua dan keadaan tubuh sudah mengkhawatirkan atau menjadikan mudhorot. Itu pendapat NU,2024-08-08T11:32:37.000Z,positif,dasar fiqihnya ngga haram ya sasuke vasektomi tubektomi kecuali yg ubah jd halal contoh tua tubuh khawatir jadi mudhorot dapat nu
twitter,"hidup lu aje udah haram kak, sok sokan bilang vasektomi haram. duh. https://x.com/MireinaRiviere/MireinaRiviere/status/1821168628714369403…",2024-08-08T11:32:11.000Z,positif,hidup lu aje udah haram kak sok sok bilang vasektomi haram duh
twitter,"Vasektomi haram 

Repost ngemis link asupan viral  

Patriarkintil",2024-08-08T11:29:10.000Z,netral,vasektomi haram repost ngemis link asupan viral patriarkintil
twitter,"Aku terima, drop ayat kitab yg menjelaskan dengan eksplisit bahwa vasektomi itu haram dilakukan. Kalo perlu, silakan tambahkan literatur ilmiah yg mendukung kenapa bisa diharamkan.

Aku bisa menerima semua pendapat SELAMA ada sumber yg jelas, dapat dipercaya, dan logis. Ditunggu",2024-08-08T11:19:26.000Z,negatif,terima drop ayat kitab yg eksplisit vasektomi haram kalo sila tambah literatur ilmiah yg dukung haram terima dapat sumber yg percaya logis tunggu
twitter,"bukannya ada vasektomi raversal ya?
knp jadi haram? https://t.co/qCpFyXVPL4",2024-08-08T10:33:42.000Z,positif,vasektomi raversal ya knp haram
twitter,"Yg membuat vasektomi haram karena merubah fitrah. Iya, makanya KB dengan pil juga masih jadi perdebatan.",2024-08-08T10:27:42.000Z,positif,yg vasektomi haram rubah fitrah iya kb pil debat
twitter,"yg diharamkan tdk hanya vasektomi.

maaf aku kurang paham, tpi kalau menopause kan memang fitrahnya seorang wanita dan terjadi tanpa campur tangan manusia, tdk spt vasektomi/tubektomi. 2 kb tsb beda dengan menopause dan penundaan kehamilan. yg haram adl pemandulannya.",2024-08-08T10:27:13.000Z,positif,yg haram tdk vasektomi maaf paham tpi menopause fitrah wanita campur tangan manusia tdk spt vasektomitubektomi kb tsb beda menopause tunda hamil yg haram adl mandul
twitter,EH PUKI KAU SIAPA KUTANYA MANA BAHASAN VASEKTOMI HARAM DARIMANA PUKI https://x.com/MireinaRiviere/MireinaRiviere/status/1821168628714369403…,2024-08-08T10:26:39.000Z,positif,eh puki kau kuta bahas vasektomi haram darimana puki
twitter,"Apapun klo yg merugikan pihak cowok selalu “HARAM” yaaa. Enak bgt jd suami gak ikut ngandung, gak ikut kontraksi klo punya anak byk mau vasektomi di bilang haram. Coba klo istri yg tubektomi “kasian nanti suaminua blablabla” KB ajaa. semua yg merugikan pihak cewek sll WAJAR. https://x.com/MireinaRiviere/MireinaRiviere/status/1821168628714369403…",2024-08-08T10:21:48.000Z,positif,apa klo yg rugi cowok haram yaaa enak bgt jd suami gak ngandung gak kontraksi klo anak byk vasektomi bilang haram coba klo istri yg tubektomi kasi suaminua blablabla kb ajaa yg rugi cewek sll wajar
twitter,"Haram klo dibuat permanen dan klo diniatkan utk sm sekali ga pny anak, tp klo bs dibuat ga permanen dan diniatkan memang untuk menunda, boleh, apalagi klo dia merasa membawa suatu penyakit yg bs diturunkan ke anaknya, diperbolehkan melakukan vasektomi. Allah ga sekejam itu",2024-08-08T10:20:31.000Z,positif,haram klo permanen klo niat utk sm ga pny anak tp klo bs ga permanen niat tunda klo bawa sakit yg bs turun anak boleh vasektomi allah ga kejam
twitter,Yaudah ada gak ayat Al Quran yg bahas vasektomi haram?,2024-08-08T10:20:20.000Z,positif,yaudah gak ayat al quran yg bahas vasektomi haram
twitter,BISA DIBALIKIN LAGI FUNGSINYA. KALO OPLAS IDUNG BIKIN MANCUNG GAAKAN DIBALIKIN LG JD PESEK ELAH. jujur w jg dulu taunya vasektomi haram tp ternyata ngga ya lu harus MAU BELAJAR.,2024-08-08T10:10:26.000Z,positif,dibalikin fungsi kalo oplas idung bikin mancung gaakan dibalikin lg jd pesek elah jujur w jg tau vasektomi haram tp ngga ya lu ajar
twitter,Wkwkwk vasektomi haram sedangkan KB egk,2024-08-08T10:09:43.000Z,positif,wkwkwk vasektomi haram kb egk
twitter,"Bang maaf bgt ini tanpa bahas vasektomi halal atau haram ya
Mungkin ada ayat yang membahas vasektomi tapi ayatnya ga se-tekstual itu, layaknya rokok ada pendapat haram, tapi ga ada ayat yang tekstual bahas rokok.

Juga kata ust Hanan ada ayat move on, tapi ayatnya ga tekstual.",2024-08-08T10:04:32.000Z,positif,bang maaf bgt bahas vasektomi halal haram ya ayat bahas vasektomi ayat ga setekstual layak rokok dapat haram ga ayat tekstual bahas rokok ust hanan ayat move on ayat ga tekstual
twitter,"Vasektomi jd haram itu klo dibuat jd permanen gabisa pny anak sm sekali, tp klo dibuat utk menunda itu boleh asal ga dibuat permanen dan hukumnya jd sama sama 'azl",2024-08-08T10:04:20.000Z,positif,vasektomi jd haram klo jd permanen gabisa pny anak sm tp klo utk tunda ga permanen hukum jd azl
twitter,"vasektomi: haram
KB yg banyak ngerusak hormon dan tubuh perempuan: halal https://x.com/MireinaRiviere/MireinaRiviere/status/1821168628714369403…",2024-08-08T10:01:17.000Z,netral,vasektomi haram kb yg ngerusak hormon tubuh perempuan halal
twitter,kalo bisa ngasih statement vasektomi itu haram. coba dong kasih bukti dalil atau artikel yang jelasin hal tsb? https://t.co/zZIcpRmfq2,2024-08-08T09:57:41.000Z,netral,kalo ngasih statement vasektomi haram coba kasih bukti dalil artikel jelasin tsb
twitter,"Mba nya keren nih, tapi baca komennya ternyata masih banyak yg belum tau tentang vasektomi dan terlalu banyak yang menjudge kalau vasektomi itu haram dan dosa. Lalu apakah beranak pinak banyak tapi ga mampu menghidupi anak tersebut tidak dzalim dan berdosa? Tolol https://x.com/noniksipit/sta/noniksipit/status/1821203178098241756…",2024-08-08T09:54:46.000Z,positif,mba nya keren nih baca komennya yg tau vasektomi menjudge vasektomi haram dosa anak pinak ga hidup anak dzalim dosa tolol
twitter,"Ada bukti konkritnya ga? bisa disertakan dalil tidak? 
Kalo bisa ngehasilin anak sampa 4567 tapi ga bisa mendidik dan membesarkan dengan benar dosa tidak? 
Yang saya pelajari KB diperbolehkan untuk menjarakan kehamilan dan persalinan. 
Kalo vasektomi haram berarti semua KB Haram? https://t.co/0YU4HBFJNW",2024-08-08T09:53:44.000Z,positif,bukti konkritnya ga serta dalil kalo ngehasilin anak sampa ga didik besar dosa ajar kb boleh jara hamil salin kalo vasektomi haram kb haram
twitter,"Iya silahkan saja, asal beneran DIJAMIN bisa balik lagi. Kalo ga bisa ya hukumnya tetap haram, mau vasektomi ataupun tubektomi.",2024-08-08T09:45:25.000Z,positif,iya silah beneran jamin kalo ga ya hukum haram vasektomi tubektomi
twitter,WKWKWKWK MALU HARUSNYA LU MAH. Bawa-bawa vasektomi haram tapi giliran ditanyain KB haram atau nggak malah ngelak bawa daging babi. Lu yang haram kata gua mah. Pengen enak aje tuh kontol lu. Maen pake sabun sampe ledes sono. https://x.com/MireinaRiviere/MireinaRiviere/status/1821412600535740880…,2024-08-08T09:40:21.000Z,positif,wkwkwkwk malu lu mah bawabawa vasektomi haram gilir ditanyain kb haram nggak ngelak bawa daging babi lu haram gua mah ken enak aje tuh kontol lu maen pake sabun sampe ledes sono
twitter,"Orang-orang kok gampang banget ya ngeharamin sesuatu 

Lebih haram mana, vasektomi atau ga ngatur kelahiran kemudian anaknya banyak lalu terbengkalai?  https://x.com/MireinaRiviere/MireinaRiviere/status/1821168628714369403…",2024-08-08T09:33:55.000Z,positif,orangorang gampang banget ya ngeharamin haram vasektomi ga ngatur lahir anak bengkalai
twitter,"Kasih sumbernya jangan asal ngetik, bang. Karna kamu udh nyangkutin sama agama, silakan drop ayat kitab yg menjelaskan dengan eksplisit bahwa vasektomi itu haram dilakukan. Kalo perlu, silakan tambahkan literatur ilmiah yg mendukung kenapa bisa diharamkan.",2024-08-08T09:30:10.000Z,positif,kasih sumber ngetik bang karna udh nyangkutin agama sila drop ayat kitab yg eksplisit vasektomi haram kalo sila tambah literatur ilmiah yg dukung haram
twitter,"ntar sharing dusini ya na, aku baru kli ini baca vasektomi tu haram",2024-08-08T09:22:22.000Z,positif,ntar sharing dusin ya na kli baca vasektomi tu haram
twitter,"vasektomi haram, husband stitch bowleeh asal nyenengin swami https://x.com/MireinaRiviere/MireinaRiviere/status/1821168628714369403…",2024-08-08T09:11:34.000Z,netral,vasektomi haram husband stitch bowleeh nyenengin swami
twitter,vasektomi emg haram karena apa guys https://t.co/DUDUNsVTjz,2024-08-08T09:10:58.000Z,netral,vasektomi emg haram guys
twitter,"kalo perbandingan haram nya daging babi mah bkn sama vasektomi, tpi sama sex bebas goblok bgt lu",2024-08-08T09:09:13.000Z,positif,kalo banding haram nya daging babi mah bkn vasektomi tpi sex bebas goblok bgt lu
twitter,"Sebenarnya, lebih ke vasektomi haram, kb juga haram. Tapi giliran terpaksa, yang boleh dipaksa cuman istri (kb), vasektomi tetap diharamin. Nanti anaknya kebanyakan, kewalahan, nitip urusin kalo ngga ke sodara yang anaknya dikit tapi mampu, ato bahkan ke yang childfree",2024-08-08T09:08:39.000Z,positif,vasektomi haram kb haram gilir paksa paksa cuman istri kb vasektomi diharamin anak banyak kewalahan nitip urusin kalo ngga sodara anak dikit ato childfree
twitter,Vasektomi haram tp KB gpp tu mksdnya bgmn https://x.com/umaralfaruq__//umaralfaruq__/status/1821387857220792409…,2024-08-08T09:08:17.000Z,netral,vasektomi haram tp kb gpp tu mksdnya bgmn
twitter,"Lebih ke gini sih
Vasektomi tubektomi haram karna tidak reversible, yang halal tuh KB suntik, pil, sejenisnya karna bisa distop kapan aja. Banyak efek samping ke tubuh perempuan? Oh gapapa, yang penting reversible, jadi kalau swamik mau anak lagi bisa nambah truzz",2024-08-08T09:07:56.000Z,negatif,gin sih vasektomi tubektomi haram karna reversible halal tuh kb suntik pil jenis karna stop aja efek samping tubuh perempuan oh gapapa reversible swamik anak nambah truzz
twitter,"Udang haram buat sebagian orang, engga buat sebagian kita. Anjing najis buat sebagian orang, mubah buat sebagian lain. Begitu juga vasektomi dll. Yg sepakat sama ga bolehnya ya kaya mvaknya ini, sombong dan ngerasa lebih bener dr yg lain",2024-08-08T09:05:08.000Z,positif,udang haram orang engga anjing najis orang mubah vasektomi dll yg sepakat ga boleh ya kaya mvaknya sombong ngerasa bener dr yg
twitter,Masih nungguin jawaban reply dari twit ini sama mas2 yg bilang vasektomi itu haram dan ada dalilnya ,2024-08-08T09:02:30.000Z,netral,nungguin reply twit mas yg bilang vasektomi haram dalil
twitter,"1. Dalam fatwa mui ga haram
2. Apa hubungannya vasektomi dengan karungin istri dan dikembalikan ke orang tua selain ego rendahan laki-laki tsb
3. Ga semua orang capable untuk punya anak banyak
4. Vasektomi lebih tidak beresiko dibanding kb
5. Lu tolol https://x.com/MireinaRiviere/MireinaRiviere/status/1821168628714369403…",2024-08-08T08:57:49.000Z,positif,fatwa mui ga haram hubung vasektomi karungin istri kembali orang tua ego rendah lakilaki tsb ga orang capable anak vasektomi resiko banding kb lu tolol
twitter,"Haram nya vasektomi itu apa kak kalo boleh tau? Soalnya materi saya semester depan sudah membahas vasektomi dan alat penunda kehamilan lainnya, agar bisa jadi bahan diskusi saya dan dosen",2024-08-08T08:57:16.000Z,netral,haram nya vasektomi kak kalo tau materi semester bahas vasektomi alat tunda hamil bahan diskusi dosen
twitter,"Trs kb gak haram? Kan tujuannya sama malah kb tuh merusak hormon si istri jg, meanwhile vasektomi lebih aman, trs lebih jahat mana nyuruh suami vasektomi sama ngebiarin punya banyak anak tp nelantarin anaknya krn kondisi ekonomi skrng banyak yg lg gak stabil? https://x.com/umaralfaruq__//umaralfaruq__/status/1821387857220792409…",2024-08-08T08:32:30.000Z,positif,trs kb gak haram tuju kb tuh rusak hormon si istri jg meanwhile vasektomi aman trs jahat nyuruh suami vasektomi ngebiarin anak tp nelantarin anak krn kondisi ekonomi skrng yg lg gak stabil
twitter,"Ya gue based on info yg lo kasih aja sih,
Tentu dokter lo lgsg yg lebih Tau detilnya,
Jika kehamilan akan mengancam jiwa,tentu histerektomi,
Jika histerektomi d lkukan mengancam jiwa,tentu vasektomi-tubektomi yg tadinya haram jadi halal, https://x.com/noniksipit/sta/noniksipit/status/1821440754537169282…",2024-08-08T08:30:05.000Z,netral,ya gue based on info yg lo kasih aja sih dokter lo lgsg yg tau detilnya hamil ancam jiwatentu histerektomi histerektomi d lkukan ancam jiwatentu vasektomitubektomi yg haram halal
twitter,"Kan kata lu vasektomi itu haram, berdasar fatwa ulama siapa ya?",2024-08-08T08:11:14.000Z,positif,lu vasektomi haram dasar fatwa ulama ya
twitter,"Your husband and ngewe brutal tidak merubah apapun, vasektomi tetap haram hukumnya.",2024-08-08T08:02:06.000Z,positif,your husband and ngewe brutal rubah apa vasektomi haram hukum
twitter,"Tapi,
Di beberapa pembahasan emang dihukumi haram jika yg dilakukan vasektomi/tubektomi permanen tanpa urgensi kesehatan yang mendesak,

Sampai tahun 2012 pun vasektomi/tubektomi masih dihukumi ""haram""

Kemudian dikaji ulang oleh kemenkes dan MUI lalu diubah ke ""haram,kecuali...""",2024-08-08T07:46:39.000Z,positif,bahas emang hukum haram yg vasektomitubektomi permanen urgensi sehat desak vasektomitubektomi hukum haram kaji ulang kemenkes mui ubah haramkecuali
twitter,"Setau aku, perbedaan pendapat pada vasektomi masih terjadi. Makanya ga bisa asal bilang saklek ini haram. Lagian ngewe halal kok takut, punya anak tanpa bisa ngurus tuh yg ditakutin ",2024-08-08T07:34:40.000Z,positif,tau beda dapat vasektomi ga bilang saklek haram ngewe halal takut anak ngurus tuh yg ditakutin
twitter,"Wkwkwk udh serius bgt baca pgn tau ujung nya malah hilang, vasektomi haram apalah itulah noh cewe mulu yg berkorban anj lah bangsat emosi saya maapmaap rekan rekan",2024-08-08T07:20:45.000Z,positif,wkwkwk udh serius bgt baca pgn tau ujung nya hilang vasektomi haram apa noh cewe mulu yg korban anj bangsat emosi maapmaap rekan rekan
twitter,"Konteks?
Masak berkali2 strawman sih,
Klo konteksnya 
@noniksipit
Histerektomi  ya memang g haram, mengancam jiwanya sendiri,
Gue aj heran knp dia g histerektomi,mengingat riwayat kehamilannya,knp pilih vasektomi yg bisa juga jebol 1 persen?
Knp gak bikin 0 persen?",2024-08-08T06:49:10.000Z,positif,konteks masak kali strawman sih klo konteks noniksipit histerektomi ya g haram ancam jiwa gue aj heran knp g histerektomimengingat riwayat kehamilannyaknp pilih vasektomi yg jebol persen knp gak bikin persen
twitter,"Klo gak Salah,
Org yg anggap vasektomi itu haram,jg mnganggap tubektomi jg haram kok,",2024-08-08T06:41:40.000Z,positif,klo gak salah org yg anggap vasektomi haramjg mnganggap tubektomi jg haram
twitter,"N iya di awal konteks debat kita lu bilang vasek termasuk haram. Coba deh lu jawab dulu yang ini. Terus lu cari sendiri vasektomi reversal. Kalo lu masih bilang haram, ya berarti IUD yang lu bilang DIPERBOLEHKAN itu termasuk haram juga.
https://x.com/sweetsourcndy/status/1821423809976828380?t=sU9RCpN7p3vMCifXdOsE2w&s=19…",2024-08-08T06:29:49.000Z,positif,n iya konteks debat lu bilang vasek haram coba deh lu lu cari vasektomi reversal kalo lu bilang haram ya iud lu bilang boleh haram
twitter,Boleh minta ayat Qur'an atau Hadist yang bilang vasektomi haram?,2024-08-08T05:52:31.000Z,netral,ayat quran hadist bilang vasektomi haram
twitter,"AUD? Mungkin maksudnya IUD kali ya? Itu untuk perempuan biar mengontrol kehamilan, intinya untuk memperkecil terjadinya kehamilan, kan? vasektomi pun dibuat untuk tujuan yang sama. Kalo tujuannya sama, harusnya KB untuk perempuan yang lu maksud (IUD) itu haram juga dong?",2024-08-08T05:28:21.000Z,positif,aud maksud iud kali ya perempuan biar kontrol hamil inti kecil hamil vasektomi tuju kalo tuju kb perempuan lu maksud iud haram
twitter,"vasektomi haram karna mengubah ciptaan tuhan, tapi tubektomi gak haram",2024-08-08T05:23:44.000Z,positif,vasektomi haram karna ubah cipta tuhan tubektomi gak haram
twitter,apakah ada dalilnya kalo vasektomi haram? gimana dengan kb untuk perempuan apakah jadi halal? solusinya juga dong kalo haram semua itu biar ga banyak anak gimana caranya?,2024-08-08T05:16:58.000Z,positif,dalil kalo vasektomi haram gimana kb perempuan halal solusi kalo haram biar ga anak gimana
twitter,"Vasektomi: haram
Kb isteri yg jelas merusak siklus haid dan hormon: halal
Merokok yg jelas punya slogan merokok membunuhnu: halal

Kenapa laki2 (yg itu2 aja) punya obsesi menghalalkan sakit dan penyakit.",2024-08-08T05:14:04.000Z,positif,vasektomi haram kb isteri yg rusak siklus haid hormon halal rokok yg slogan rokok membunuhnu halal laki yg aja obsesi halal sakit sakit
twitter,"sori bang

Sebetulnya ada konflik mengenai halal/haramnya vasektomi dalam islam. Dulu disepakati haram, tapi sekarang diperbolehkan karena sudah ada metode untuk penyambungan kembali.

https://nu.or.id/nasional/mui-kb-vasektomi-halal-bagi-pria-FmyMD…",2024-08-07T17:14:29.000Z,netral,sori bang konflik halalharamnya vasektomi islam pakat haram boleh metode sambung
twitter,"Sengaja dibikin mandul biar bisa puasin nafsu itu dosa besar, pemandulan itu masuknya kebiri, haram, apalagi alasan melakukan vasektomi cuma biar bisa ngewe tanpa takut hamil, double tuh dosanya https://x.com/noniksipit/sta/noniksipit/status/1821203178098241756…",2024-08-07T16:02:05.000Z,positif,sengaja bikin mandul biar puasin nafsu dosa mandul masuk kebiri haram alas vasektomi biar ngewe takut hamil double tuh dosa
twitter,"Kalau lihat postingan ini, bahkan ada beberapa anggapan kalau melakukan vasektomi tuh haram dan dalam kondisi tertentu hukumnya bisa jadi mubah. Mungkin itulah kenapa ada yang kontra sama childfree selain alasan yang diutarain postsbyfar",2024-07-29T07:52:09.000Z,positif,lihat postingan anggap vasektomi tuh haram kondisi hukum mubah kontra childfree alas diutarain postsbyfar
twitter,"kalo udah punya pasangan, jangan asal nuntut buat vasektomi. selain haram, biasanya orang vasektomi cacat logika dengan nyebarin syubhat kayak gini. sorry to say tapi kebenaran harus disampaikan.",2024-07-06T22:46:39.000Z,positif,kalo udah pasang nuntut vasektomi haram orang vasektomi cacat logika nyebarin syubhat kayak gin sorry to say benar
twitter,"Setahuku, memang pil KB atau KB yang bersifat hormonal itu fatwanya dari makruh sampai haram. Karena mempengaruhi fungsi tubuh. Aku pribadi g ngikut fatwa yang mengharamkan vasektomi, cuma ya sebagai muslim menghindari yang bersifat meragukan aja.",2024-07-06T22:20:46.000Z,positif,tahu pil kb kb sifat hormonal fatwa makruh haram pengaruh fungsi tubuh pribadi g ngikut fatwa haram vasektomi ya muslim hindar sifat ragu aja
twitter,Vasektomi tubektomi dalam islam seinget saya haram sih hukumnya,2024-07-06T15:53:40.000Z,positif,vasektomi tubektomi islam seinget haram sih hukum
twitter,"Pengharaman vasektomi atau KB secara umum itu karena 'illah nya, bukan  karena dzat/perbuatannya

Sebelum mengangkat fatwa keharamannya, cek dulu sebabnya, kalau sebabnya gak sesuai, yaa fatwanya gak jadi haram",2024-07-06T10:03:52.000Z,positif,haram vasektomi kb illah nya dzatperbuatannya angkat fatwa haram cek gak sesuai yaa fatwa gak haram
twitter,"Iya. Ini menurutku masalah kontemporer dan furu'. Jadi silakan berbeda dan bertukar pendapat dengan kepala dingin, baik yg ambil hukum haram, makruh, atau mubah. Dan tetap menghargai satu sama lain

Apalagi dengan teknologi terbaru vasektomi pun masih..",2024-07-06T00:45:38.000Z,negatif,iya turut kontemporer furu sila beda tukar dapat kepala dingin yg ambil hukum haram makruh mubah harga teknologi baru vasektomi
